Smiles,Tg(C)
*C*,-63.48
*C(C*)C,-2.73
*C(C*)CC,-22.54
*C(C*)CCC,-32.29
*C(C*)C(C)C,10.97
*C(C*)CCCC,-49.86
*C(C*)CC(C)C,45.5
*C(C*)CCCCC,-45.5
*C(C*)CCCCCCC,-47
*C(C*)CCCCCCCC,-35
*C(C*)(C)C,-65.41
*C(C*)(CC)C,-5
*C(CC*)(C)C,10.97
*C(C(C*)C)(C)C,37
*C(CCC*)(C)C,45.5
*C(CCC*)(CC)C,-23
*C(CCCCCCC*)C,-58
*C(C*)C1CCCC1,75
*C(C*)CC1CCCC1,60
*C(C*)C1CCCCC1,117.68
*C(C*)CC1CCCCC1,75
*C(C*)Cc1ccccc1,63.33
*C(C*)CCc1ccccc1,17.5
*C(C*)CCCCCC,-56.48
*C(C*)CCCCCCCCCC,-73.33
*C(C*)CCCCCCCCCCCC,10
*C(C*)CCCCCCCCCCCCCCCC,-25.33
*C(C*)CC(C)(C)C,190
*C(C*)CCC1CCCCC1,40
*C(C*)(CCC)C,27
*C=CCCC*,-101.57
*C=CCC*,-89.57
*C(C(CC*)C)C,-32
*C(C*)CCCCCCCCCCCCCC,-24
*C=CCCCCCC*,-86.5
*C(C*)C1CC(CCC1)C,141
*C(C*)C1CCC(CC1)C,132
*C(=CCC*)CCCCCCC,-83
*C(=CCC*)C(C)C,-47
*C1CC(CC1)C=C*,39.97
*C=CCCCCCCCCCC*,-53
*C=C*,-25.5
*C1(CCCCC1)C*,100
*C(C*)c1ccccc1,92.74
*C(C*)c1c(cccc1)C,124.17
*C(C*)c1c(cccc1)COC,89
*C(C*)c1c(cccc1)COCC,74
*C(C*)c1c(cccc1)COCCC,97
*C(C*)c1c(cccc1)COC(C)C,88
*C(C*)c1c(cccc1)COCCCC,67
*C(C*)c1c(cccc1)COCCCCC,47
*C(C*)c1c(cccc1)COCCC(C)C,78
*C(C*)c1c(cccc1)COCc1ccccc1,72
*C(C*)c1c(cccc1)COCCc1ccccc1,63
*C(C*)c1c(cccc1)C(=O)NC,189
*C(C*)c1c(cccc1)C(=O)N(C)C,190
*C(C*)c1c(cccc1)C(=O)Nc1ccccc1,191
*C(C*)c1c(cccc1)C(=O)O,177
*C(C*)c1c(cccc1)C(=O)OC,130
*C(C*)c1c(cccc1)C(=O)OCC,118
*C(C*)c1c(cccc1)C(=O)OCCC,108
*C(C*)c1c(cccc1)C(=O)OC(C)C,146
*C(C*)c1c(cccc1)C(=O)OCCCC,66
*C(C*)c1c(cccc1)C(=O)OCC(C)C,127
*C(C*)c1c(cccc1)C(=O)OCCCCC,92
*C(C*)c1c(cccc1)C(=O)OCCC(C)C,68
*C(C*)c1c(cccc1)C(=O)OCCCCCC,45
*C(C*)c1c(cccc1)C(=O)Oc1ccccc1,124
*C(C*)c1c(cccc1)C(=O)OCCN(C)C,69
*C(C*)c1ccc(cc1)C(=O)OCCN(C)C,91
*C(C*)c1c(cccc1)Cl,112.63
*C(C*)c1cc(ccc1)C,74.83
*C(C*)c1cc(ccc1)Cl,87.25
*C(C*)c1cc(ccc1)F,86
*C(C*)c1ccc(cc1)C,103.07
*C(C*)c1ccc(cc1)CC,50.47
*C(C*)c1ccc(cc1)C(C)C,62.4
*C(C*)c1ccc(cc1)CCCC,14.4
*C(C*)c1ccc(cc1)C(C)(C)C,134.63
*C(C*)c1ccc(cc1)CCCCCC,-27
*C(C*)c1ccc(cc1)CCCCCCCC,-45
